SKU,GCODE,Category,New Description,NMFC,Treads,Width,Depth,Gauge,Height,Length,Capacity,WEIGHT,Stock,Type
ME,ME,MEZZ,"Measuring standard in width and standard in depth, this standard gauge steel product is engineered for industrial-grade performance. It is providing a solid and reliable solution for high-traffic areas.",65,,,,,,,,12.0 lbs,,
MH,MH,MEZZ,"Measuring standard in width and standard in depth, this standard gauge steel product is engineered for industrial-grade performance. It is designed to withstand heavy-duty use while maintaining structural integrity.",65,,,,,,,,17.0 lbs,,
MI,MI,MEZZ,"Designed for reliability, this product is standard wide, standard deep, and made with durable standard gauge steel, ideal for heavy-duty use. It is built to handle tough conditions and provide superior performance over time.",65,,,,,,,,250.0 lbs,,
DA,MP DECK,MP DECK,"This product is built for demanding environments, featuring 9"" width, 1.5"" depth, and a sturdy 14 gauge construction. It is offering superior resistance to wear and tear in heavy-use scenarios.",70,,"9""","1.5""",14,,,,3.6 lbs,,
DB,MP DECK,MP DECK,"Measuring 9"" in width and 1.5"" in depth, this 16 gauge steel product is engineered for industrial-grade performance. It is designed to withstand heavy-duty use while maintaining structural integrity.",70,,"9""","1.5""",16,,,,2.9 lbs,,
GA,INTERLOC,MP GRAT,"Crafted from 14 gauge steel, this item spans 9"" in width and 1.5"" in depth, providing reliable strength for industrial applications. It is ensuring long-lasting reliability even in the most demanding industrial environments.",55,,"9""","1.5""",14,,,,3.7 lbs,,
GAA,NON I/L,MP GRAT,"Crafted from 16 gauge steel, this item spans 12"" in width and 4.0"" in depth, providing reliable strength for industrial applications. It is engineered for continuous use in challenging conditions, ensuring dependable performance.",55,,"12""","4.0""",16,,,,0.0 lbs,,
GAB,NON I/L,MP GRAT,"Measuring 12"" in width and 4.0"" in depth, this 18 gauge steel product is engineered for industrial-grade performance. It is engineered for continuous use in challenging conditions, ensuring dependable performance.",55,,"12""","4.0""",18,,,,0.0 lbs,,
GB,INTERLOC,MP GRAT,"With a width of 9"" and a depth of 1.5"", this 16 gauge steel component ensures long-lasting performance in tough industrial settings. It is engineered for continuous use in challenging conditions, ensuring dependable performance.",55,,"9""","1.5""",16,,,,3.0 lbs,,
GC,INTERLOC,MP GRAT,"Designed for reliability, this product is 9"" wide, 1.5"" deep, and made with durable 18 gauge steel, ideal for heavy-duty use. It is crafted for durability and strength in a variety of demanding settings.",55,,"9""","1.5""",18,,,,2.4 lbs,,
GD,INTERLOC,MP GRAT,"Crafted from 14 gauge steel, this item spans 9"" in width and 2.5"" in depth, providing reliable strength for industrial applications. It is offering superior resistance to wear and tear in heavy-use scenarios.",55,,"9""","2.5""",14,,,,3.9 lbs,,
GE,INTERLOC,MP GRAT,"This product is built for demanding environments, featuring 9"" width, 2.5"" depth, and a sturdy 16 gauge construction. It is providing a solid and reliable solution for high-traffic areas.",55,,"9""","2.5""",16,,,,3.2 lbs,,
GF,INTERLOC,MP GRAT,"Designed for reliability, this product is 9"" wide, 2.5"" deep, and made with durable 18 gauge steel, ideal for heavy-duty use. It is built to handle tough conditions and provide superior performance over time.",55,,"9""","2.5""",18,,,,2.5 lbs,,
GG,INTERLOC,MP GRAT,"Crafted from 14 gauge steel, this item spans 9"" in width and 4.0"" in depth, providing reliable strength for industrial applications. It is crafted for durability and strength in a variety of demanding settings.",55,,"9""","4.0""",14,,,,4.7 lbs,,
GH,INTERLOC,MP GRAT,"With a width of 9"" and a depth of 4.0"", this 16 gauge steel component ensures long-lasting performance in tough industrial settings. It is made to last through extended periods of intense industrial usage.",55,,"9""","4.0""",16,,,,4.1 lbs,,
GI,INTERLOC,MP GRAT,"With a width of 9"" and a depth of 4.0"", this 18 gauge steel component ensures long-lasting performance in tough industrial settings. It is offering superior resistance to wear and tear in heavy-use scenarios.",55,,"9""","4.0""",18,,,,3.3 lbs,,
GJ,NON I/L,MP GRAT,"Crafted from 14 gauge steel, this item spans 9"" in width and 1.5"" in depth, providing reliable strength for industrial applications. It is designed to withstand heavy-duty use while maintaining structural integrity.",55,,"9""","1.5""",14,,,,3.6 lbs,,
GK,NON I/L,MP GRAT,"This product is built for demanding environments, featuring 9"" width, 1.5"" depth, and a sturdy 16 gauge construction. It is designed to withstand heavy-duty use while maintaining structural integrity.",55,,"9""","1.5""",16,,,,2.83 lbs,,
GL,NON I/L,MP GRAT,"Crafted from 18 gauge steel, this item spans 9"" in width and 1.5"" in depth, providing reliable strength for industrial applications. It is providing a solid and reliable solution for high-traffic areas.",55,,"9""","1.5""",18,,,,2.3 lbs,,
GM,NON I/L,MP GRAT,"Designed for reliability, this product is 9"" wide, 2.5"" deep, and made with durable 14 gauge steel, ideal for heavy-duty use. It is offering superior resistance to wear and tear in heavy-use scenarios.",55,,"9""","2.5""",14,,,,4.1 lbs,,
GN,NON I/L,MP GRAT,"Crafted from 16 gauge steel, this item spans 9"" in width and 2.5"" in depth, providing reliable strength for industrial applications. It is engineered for continuous use in challenging conditions, ensuring dependable performance.",55,,"9""","2.5""",16,,,,0.0 lbs,,
GO,NON I/L,MP GRAT,"Designed for reliability, this product is 9"" wide, 2.5"" deep, and made with durable 18 gauge steel, ideal for heavy-duty use. It is offering exceptional durability in rigorous industrial applications.",55,,"9""","2.5""",18,,,,2.6 lbs,,
GP,NON I/L,MP GRAT,"Measuring 9"" in width and 4.0"" in depth, this 14 gauge steel product is engineered for industrial-grade performance. It is ideal for supporting industrial processes that require robust materials.",55,,"9""","4.0""",14,,,,0.0 lbs,,
GQ,NON I/L,MP GRAT,"Crafted from 16 gauge steel, this item spans 9"" in width and 4.0"" in depth, providing reliable strength for industrial applications. It is providing a solid and reliable solution for high-traffic areas.",55,,"9""","4.0""",16,,,,4.0 lbs,,
GR,NON I/L,MP GRAT,"Measuring 9"" in width and 4.0"" in depth, this 18 gauge steel product is engineered for industrial-grade performance. It is designed to withstand heavy-duty use while maintaining structural integrity.",55,,"9""","4.0""",18,,,,0.0 lbs,,
GS,NON I/L,MP GRAT,"Designed for reliability, this product is 12"" wide, 1.5"" deep, and made with durable 14 gauge steel, ideal for heavy-duty use. It is built to handle tough conditions and provide superior performance over time.",55,,"12""","1.5""",14,,,,4.0 lbs,,
GT,NON I/L,MP GRAT,"With a width of 12"" and a depth of 1.5"", this 16 gauge steel component ensures long-lasting performance in tough industrial settings. It is designed to withstand heavy-duty use while maintaining structural integrity.",55,,"12""","1.5""",16,,,,3.5 lbs,,
GU,NON I/L,MP GRAT,"This product is built for demanding environments, featuring 12"" width, 1.5"" depth, and a sturdy 18 gauge construction. It is ensuring long-lasting reliability even in the most demanding industrial environments.",55,,"12""","1.5""",18,,,,2.8 lbs,,
GV,NON I/L,MP GRAT,"Crafted from 14 gauge steel, this item spans 12"" in width and 2.5"" in depth, providing reliable strength for industrial applications. It is crafted for durability and strength in a variety of demanding settings.",55,,"12""","2.5""",14,,,,0.0 lbs,,
GW,NON I/L,MP GRAT,"This product is built for demanding environments, featuring 12"" width, 2.5"" depth, and a sturdy 16 gauge construction. It is built to handle tough conditions and provide superior performance over time.",55,,"12""","2.5""",16,,,,4.0 lbs,,
GY,NON I/L,MP GRAT,"Designed for reliability, this product is 12"" wide, 4.0"" deep, and made with durable 18 gauge steel, ideal for heavy-duty use. It is designed to withstand heavy-duty use while maintaining structural integrity.",55,,"12""","4.0""",18,,,,0.0 lbs,,
GZ,NON I/L,MP GRAT,"Measuring 12"" in width and 4.0"" in depth, this 14 gauge steel product is engineered for industrial-grade performance. It is engineered for continuous use in challenging conditions, ensuring dependable performance.",55,,"12""","4.0""",14,,,,0.0 lbs,,
BN24,BN,RACK-SPI,"With a width of standard and a depth of standard, this standard gauge steel component ensures long-lasting performance in tough industrial settings. It is offering exceptional durability in rigorous industrial applications.",55,,,,,,,,3.5 lbs,,
BN32,BN,RACK-SPI,"Crafted from standard gauge steel, this item spans standard in width and standard in depth, providing reliable strength for industrial applications. It is offering superior resistance to wear and tear in heavy-use scenarios.",55,,,,,,,,4.7 lbs,,
