SKU,GCODE,Category,New Description,NMFC,Treads,Width,Depth,Gauge,Height,Length,Capacity,WEIGHT,Stock,Type
ME,ME,MEZZ,"END POST-42""HANDRAIL-END= TOP MOUNTED SYSTEM W/BACKUP PLATE",65,,,,,,,,12.0 lbs,,
MH,MH,MEZZ,"HANDRAIL-2""x2""x96""L (2 EA REQ'D)=NON- STAND-MEZZANINE-TOP MOUNTED SYSTEM",65,,,,,,,,17.0 lbs,,
MI,MI,MEZZ,"INSIDE STAIRWELL-108""Lx   Wx  ""TOD nan",65,,,,,,,,250.0 lbs,,
DA,MP DECK,MP DECK,"METAL PLANK DECKING-SPI-OVAL   HOLE-G90 GALVANIZED-9 ""Wx1.5""Dx14 GA",70,,"9""","1.5""",14,,,,3.6 lbs,,
DB,MP DECK,MP DECK,"METAL PLANK DECKING-SPI-LOUVER HOLE-G90 GALVANIZED-9 ""Wx1.5""Dx16 GA",70,,"9""","1.5""",16,,,,2.9 lbs,,
GA,INTERLOC,MP GRAT,"PLANK GRATING-INTERLOC-M/F,OVAL HOLE,G90 & NONSKID STANDARD-9 ""Wx1.5""Dx14GA:",55,,"9""","1.5""",14,,,,3.7 lbs,,
GAA,NON I/L,MP GRAT,"PLANK GRATING-NONINTERLOCK-LOUV HOLE,G90 & NONSKID STANDARD-12""Wx4.0""Dx16GA:",55,,"12""","4.0""",16,,,,0.0 lbs,,
GAB,NON I/L,MP GRAT,"PLANK GRATING-NONINTERLOCK-LOUV HOLE,G90 & NONSKID STANDARD-12""Wx4.0""Dx18GA:",55,,"12""","4.0""",18,,,,0.0 lbs,,
GB,INTERLOC,MP GRAT,"PLANK GRATING-INTERLOC-M/F,LOUV HOLE,G90 & NONSKID STANDARD-9 ""Wx1.5""Dx16GA:",55,,"9""","1.5""",16,,,,3.0 lbs,,
GC,INTERLOC,MP GRAT,"PLANK GRATING-INTERLOC-M/F,LOUV HOLE,G90 & NONSKID STANDARD-9 ""Wx1.5""Dx18GA;",55,,"9""","1.5""",18,,,,2.4 lbs,,
GD,INTERLOC,MP GRAT,"PLANK GRATING-INTERLOC-M/F,OVAL HOLE,G90 & NONSKID STANDARD-9 ""Wx2.5""Dx14GA:",55,,"9""","2.5""",14,,,,3.9 lbs,,
GE,INTERLOC,MP GRAT,"PLANK GRATING-INTERLOC-M/F,LOUV HOLE,G90 & NONSKID STANDARD-9 ""Wx2.5""Dx16GA:",55,,"9""","2.5""",16,,,,3.2 lbs,,
GF,INTERLOC,MP GRAT,"PLANK GRATING-INTERLOC-M/F,LOUV HOLE,G90 & NONSKID STANDARD-9 ""Wx2.5""Dx18GA:",55,,"9""","2.5""",18,,,,2.5 lbs,,
GG,INTERLOC,MP GRAT,"PLANK GRATING-INTERLOC-M/F,OVAL HOLE,G90 & NONSKID STANDARD-9 ""Wx4.0""Dx14GA:",55,,"9""","4.0""",14,,,,4.7 lbs,,
GH,INTERLOC,MP GRAT,"PLANK GRATING-INTERLOC-M/F,LOUV HOLE,G90 & NONSKID STANDARD-9 ""Wx4.0""Dx16GA:",55,,"9""","4.0""",16,,,,4.1 lbs,,
GI,INTERLOC,MP GRAT,"PLANK GRATING-INTERLOC-M/F,LOUV HOLE,G90 & NONSKID STANDARD-9 ""Wx4.0""Dx18GA:",55,,"9""","4.0""",18,,,,3.3 lbs,,
